att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,class
1,-0.193548,-0.875,-0.428571,-0.553229,-0.90625,0.507163,0.266667,-0.84,1
1,-0.193548,-0.625,-0.285714,-0.347295,-0.875,0.610315,0.095238,-0.466667,1
1,-0.193548,-0.75,-0.285714,0.193717,-0.875,0.954155,-0.171429,-0.413333,1
1,-0.129032,-0.625,-0.428571,-0.329843,-0.890625,0.684814,0.009524,-0.773333,1
1,-0.032258,-0.75,-0.428571,-0.818499,-0.890625,0.891117,0.009524,-0.626667,1
1,-0.064516,-0.75,-0.428571,-0.493892,-0.875,0.558739,0.247619,-0.68,1
1,-0.16129,-0.75,-0.357143,-0.253054,-0.875,0.461318,0.142857,-0.6,1
1,-0.096774,-0.75,-0.5,-0.528796,-0.90625,0.765043,0.104762,-0.64,1
1,0.741935,-0.375,-0.357143,-0.794066,-0.796875,0.272206,0.12381,-0.653333,1
1,0.806452,-0.375,-0.428571,-0.675393,-0.8125,0.157593,0.257143,-0.573333,1
1,0.709677,0.125,-0.428571,-0.856894,-0.828125,0.295129,0.104762,-0.693333,1
1,0.741935,-0.5,-0.571429,-0.626527,-0.828125,0.169054,0.438095,-0.64,1
1,0.774194,-0.25,-0.357143,-0.762653,-0.8125,0.255014,0.152381,-0.693333,1
1,0.774194,0.125,-0.214286,-0.839442,-0.828125,0.421203,0.209524,-0.546667,1
1,0.677419,-0.25,-0.285714,-0.811518,-0.84375,0.22063,0.180952,-0.453333,1
1,0.677419,-0.25,-0.285714,-0.815009,-0.859375,0.524355,-0.12381,-0.28,1
1,-0.258065,-0.25,-0.214286,-0.546248,-0.890625,0.851003,0.247619,-0.76,1
1,0.258065,-0.375,-0.142857,-0.30192,-0.90625,0.054441,0.219048,-0.68,1
1,0.225806,-0.5,-0.285714,-0.636998,-0.875,-0.020057,0.2,-0.706667,1
1,0.258065,-0.625,-0.142857,-0.521815,-0.890625,-0.146132,0.295238,-0.76,1
-1,0.032258,-0.75,-0.142857,-0.570681,-0.921875,0.002865,0.133333,-0.493333,1
-1,0,-0.625,-0.357143,-0.019197,-0.921875,0.191977,0.2,-0.64,1
-1,0.064516,-0.75,-0.357143,0.019197,-0.921875,-0.157593,0.180952,-0.586667,1
-1,0.064516,-0.625,-0.285714,0.04363,-0.921875,0.071633,0.247619,-0.586667,1
-1,0,-0.875,-0.357143,0.542757,-0.90625,0.484241,-0.104762,-0.346667,1
-1,0,-0.75,-0.5,0.455497,-0.921875,-0.083095,0.2,-0.64,1
-1,0.096774,-0.75,-0.5,0.207679,-0.921875,0.174785,0.047619,-0.666667,1
1,0.354839,-0.375,-0.214286,-0.633508,-0.8125,0.226361,0.257143,-0.64,1
1,0.322581,-0.5,-0.285714,-0.462478,-0.78125,0.123209,0.142857,-0.493333,1
1,0.258065,-0.125,-0.285714,-0.839442,-0.828125,0.461318,0.142857,-0.586667,1
-1,-0.096774,-0.125,-0.642857,-0.91623,-0.90625,-0.340974,0.114286,-0.586667,0
-1,-0.806452,0.25,-0.285714,-0.905759,-0.890625,0.191977,0.247619,-0.573333,0
-1,-0.709677,-0.125,-0.285714,-0.940663,-0.921875,0.197708,0.12381,-0.653333,0
1,-0.322581,-0.25,-0.142857,-0.82199,-0.875,0.633238,0.161905,-0.56,0
1,0.225806,0.25,-0.428571,-0.874346,-0.875,0.346705,0.257143,-0.56,0
1,-0.548387,-0.125,-0.071429,-0.881326,-0.84375,0.226361,0.190476,-0.52,0
-1,-0.741935,-0.5,-0.357143,-0.905759,-0.90625,0.054441,0.095238,-0.4,0
1,-0.387097,-0.375,-0.285714,-0.82548,-0.859375,0.507163,0.2,-0.6,0
1,-0.193548,-0.375,-0.5,-0.797557,-0.859375,0.558739,0.161905,-0.666667,0
1,0.387097,0.375,-0.571429,-0.888307,-0.890625,0.008596,0.228572,-0.626667,0
-1,0.322581,-0.625,-0.642857,-0.804538,-0.890625,-0.289398,0.257143,-0.48,0
1,-0.741935,0,-0.285714,-0.926702,-0.84375,0.690544,0.209524,-0.786667,0
-1,0.483871,-0.25,-0.642857,-0.82548,-0.90625,0.174785,0.066667,-0.733333,0
1,0.354839,-0.25,-0.142857,-0.82897,-0.859375,0.226361,0.171429,-0.546667,0
-1,0.225806,0.125,-0.428571,-0.82199,-0.859375,0.346705,0.2,-0.6,0
-1,-0.645161,0.125,-0.5,-0.895288,-0.875,-0.008596,0.190476,-0.666667,0
-1,-0.451613,0.5,-0.285714,-0.90925,-0.90625,-0.025788,0.085714,-0.173333,0
-1,-0.451613,-0.75,-0.5,-0.884817,-0.90625,-0.13467,0.190476,-0.626667,0
-1,-0.290323,-0.625,-0.428571,-0.877836,-0.890625,0.157593,0.085714,-0.533333,0
-1,-0.451613,0.375,-0.5,-0.933682,-0.90625,-0.054441,0.114286,-0.693333,0
1,0,-0.125,-0.357143,-0.877836,-0.8125,0.404011,0.219048,-0.613333,0
1,0.193548,-0.5,-0.5,-0.867365,-0.828125,0.438395,0.161905,-0.72,0
1,-1,-0.5,-0.357143,-0.846422,-0.859375,0.369628,0.266667,-0.786667,0
-1,-0.032258,0,-0.428571,-0.884817,-0.875,0.071633,0.247619,-0.613333,0
1,0.064516,-0.25,-0.642857,-0.870855,-0.828125,0.547278,0.057143,-0.426667,0
1,-0.290323,0,-0.357143,-0.846422,-0.890625,0.455587,0.228572,-0.666667,0
1,-0.064516,0.375,-0.428571,-0.870855,-0.859375,0.507163,0.219048,-0.453333,0
-1,0.322581,-0.625,-0.571429,-0.867365,-0.890625,0.329513,0.066667,-0.533333,0
-1,-0.483871,-0.5,-0.214286,-0.863874,-0.890625,-0.111748,0.257143,-0.653333,0
1,-1,-0.375,-0.357143,-0.888307,-0.859375,0.724928,0.333333,-0.693333,0
